Column,Type,m,i,a,b,c
OverallQual,Quadratic,0,0,6676.316064720047,-38006.47692194802,151603.83158500606
YearBuilt,Quadratic,0,0,21.94211170967596,-84726.19014115201,81914149.05387999
TotalBsmtSF,Quadratic,0,0,-0.012844864927930012,146.8522574498884,42468.329771542376
1stFlrSF,Quadratic,0,0,-0.019089902993673517,179.0359232944657,1424.12094233071
GrLivArea,Quadratic,0,0,-0.010250420394988784,145.54938929005203,-13283.688505847447
FullBath,Quadratic,0,0,34950.495433724405,-29254.692068142376,130497.17549833353
GarageCars,Quadratic,0,0,19821.528597849316,3091.029082825491,102499.4495078548
GarageArea,Quadratic,0,0,0.06312070270278834,169.5103301379555,83742.0016025793
